name,file,tactics_count,tactics
instance_MonadLaws_Data_Either_Either,Data/Either.v,31,split;intros;unfold;simpl;reflexivity;intros;unfold;destruct;reflexivity;reflexivity;intros;unfold;destruct;reflexivity;simpl;reflexivity;intros;unfold;destruct;reflexivity;reflexivity;intros;reflexivity;intros;unfold;unfold;destruct;reflexivity;destruct;reflexivity;reflexivity
eftInt_aux_pf,../base/GHC/Enum.v,2,intros;omega
parametric_eq_sym,GHC/Base.v,3,intros;apply;assumption
foldr_initial,GHC/Base.v,5,induction;reflexivity;simpl;rewrite;reflexivity
instance_SemigroupLaws_option,GHC/Base.v,15,split;intros;destruct;simpl;reflexivity;rewrite;reflexivity;reflexivity;reflexivity;reflexivity;reflexivity;reflexivity;reflexivity;reflexivity;reflexivity
Build_EqLaws_reflect,GHC/Base.v,0,
N_popcount_diff,Data/Bits/Popcount.v,10,intros;destruct;reflexivity;simpl;rewrite;ring;simpl;rewrite;ring;apply
In_zip_swap,GHC/List.v,18,intros;induction;simpl;contradiction;destruct;simpl;contradiction;simpl;destruct;inversion;subst;simpl;left;reflexivity;simpl;right;apply;assumption
Eq_Symmetric,GHC/Base.v,3,intros;apply;assumption
List_foldl_foldr,GHC/List.v,9,intros;induction;simpl;reflexivity;simpl;rewrite;simpl;rewrite;reflexivity
instance_SemigroupLaws_unit,GHC/Base.v,3,constructor;intros;reflexivity
dropWhile_cons_prop,../base/Data/OldList.v,13,intros;generalize_dependent;generalize_dependent;induction;intros;inversion;simpl;destruct;apply;assumption;inversion;subst;assumption
iterates'_length,GHC/Enum.v,2,elim;rewrite
hs_coq_reverse,GHC/List.v,6,unfold;induction;reflexivity;simpl;rewrite;reflexivity
instance_ApplicativeLaws_Data_Either_Either,Data/Either.v,47,split;intros;destruct;simpl;reflexivity;simpl;reflexivity;split;intros;destruct;simpl;reflexivity;destruct;simpl;reflexivity;destruct;simpl;reflexivity;simpl;reflexivity;split;intros;simpl;reflexivity;split;intros;destruct;simpl;reflexivity;simpl;reflexivity;split;intros;destruct;simpl;reflexivity;destruct;simpl;reflexivity;simpl;reflexivity;intros;destruct;simpl;reflexivity;simpl;reflexivity
fst_pair,Data/Tuple.v,1,reflexivity
hs_coq_foldl_list',Data/Foldable.v,2,unfold;apply
instance_FunctorLaws_identity,Data/Functor/Identity.v,7,constructor;intros;destruct;reflexivity;intros;destruct;reflexivity
iter_plus_nat,GHC/Enum.v,5,induction;reflexivity;simpl;rewrite;reflexivity
Foldable_foldr_cons,Data/Foldable.v,3,intros;unfold;reflexivity
lines_cons,Data/OldList.v,12,intros;rewrite;destruct;simpl;contradiction;simpl;destruct;destruct;simpl;reflexivity;simpl;reflexivity
Foldable_foldl'_app,Data/Foldable.v,7,intros;unfold;rewrite;rewrite;rewrite;rewrite;reflexivity
flat_map_cons_id,GHC/Base.v,5,induction;reflexivity;simpl;rewrite;reflexivity
Eq_eq_Int,GHC/Base.v,4,unfold;apply;rewrite;reflexivity
mapAccumL_cons,Data/Traversable.v,0,
Eq_Equivalence,GHC/Base.v,4,constructor;apply;apply;apply
break_length,../base/Data/OldList.v,20,intros;revert;induction;intros;simpl;inversion;simpl;omega;simpl;destruct;inversion;subst;simpl;omega;destruct;inversion;subst;simpl;specialize;omega
Neq_sym,GHC/Base.v,4,intros;rewrite;rewrite;reflexivity
mapAccumL_nil,Data/Traversable.v,4,intros;unfold;simpl;reflexivity
Eq_m,GHC/Base.v,25,intros;intros;destruct;unfold;intros;destruct;destruct;simpl;congruence;apply;apply;assumption;assumption;apply;apply;assumption;assumption;apply;apply;assumption;assumption;apply;apply;assumption;assumption
EqExact_Proxy,Data/Proxy.v,6,constructor;intros;destruct;constructor;reflexivity;reflexivity
Neq_atrans,GHC/Base.v,22,intros;rewrite;destruct;destruct;simpl;tauto;apply;apply;apply;tauto;apply;apply;apply;tauto;apply;apply;apply;tauto;apply;apply;apply;tauto
reverse_unit,GHC/List.v,5,intros;rewrite;rewrite;rewrite;reflexivity
hs_coq_partition,Data/OldList.v,7,unfold;induction;reflexivity;simpl;rewrite;destruct;reflexivity
Eq_Reflexive,GHC/Base.v,2,intros;apply
reverse_append,GHC/List.v,6,intros;rewrite;rewrite;simpl;rewrite;reflexivity
N_popcount_1_pow2,Data/Bits/Popcount.v,15,intro;destruct;exfalso;simpl;discriminate;assert;simpl;injection;auto;apply;destruct;exists;simpl;f_equal;assumption
iterates_length,GHC/Enum.v,0,
Pop_popcount_diff,Data/Bits/Popcount.v,20,intros;rewrite;induction;destruct;simpl;reflexivity;repeat;destruct;simpl;reflexivity;omega;rewrite;ring_nf;omega;rewrite;ring_nf;omega;rewrite;ring_nf;omega
elem_eq,Data/Foldable.v,8,intros;induction;reflexivity;simpl;rewrite;rewrite;rewrite;reflexivity
length_zip,GHC/List.v,14,intros;revert;induction;intros;simpl;reflexivity;destruct;simpl;discriminate;simpl;f_equal;apply;simpl;omega
In_zip_fst,GHC/List.v,27,intros;revert;induction;intros;simpl;destruct;simpl;discriminate;exists;simpl;auto;destruct;simpl;discriminate;simpl;injection;simpl;destruct;exists;simpl;right;assumption;exists;simpl;left;f_equal;assumption
instance_ApplicativeLaws_option,GHC/Base.v,21,split;intros;destruct;reflexivity;intros;destruct;destruct;destruct;reflexivity;intros;reflexivity;intros;destruct;reflexivity;intros;destruct;destruct;reflexivity;intros;destruct;reflexivity
N_popcount_pow2,Data/Bits/Popcount.v,6,intro;induction;reflexivity;simpl;rewrite;apply
snd_unzip_map,GHC/List.v,6,intros;induction;reflexivity;simpl;rewrite;reflexivity
words_cons,Data/OldList.v,16,intros;rewrite;destruct;simpl;rewrite;destruct;reflexivity;simpl;rewrite;reflexivity;simpl;rewrite;destruct;simpl;rewrite;reflexivity
dropWhile_cons_length,../base/Data/OldList.v,0,
words_nil,Data/OldList.v,1,reflexivity
forM_map,Data/Traversable.v,6,intros;induction;reflexivity;simpl;rewrite;reflexivity
flat_map_app,GHC/Base.v,7,induction;simpl;reflexivity;simpl;rewrite;rewrite;reflexivity
parametric_eq_trans,GHC/Base.v,4,intros;destruct;apply;assumption
safeSubN_sub,../base/GHC/Num.v,9,intros;unfold;destruct;exfalso;apply;omega;rewrite;reflexivity;assumption
EqExact_pair,GHC/Base.v,107,split;intros;cbn;destruct;destruct;cbn;constructor;congruence;subst;reflexivity;intro;apply;inversion;reflexivity;intro;apply;inversion;reflexivity;intro;apply;inversion;reflexivity;intros;cbn;destruct;destruct;cbn;constructor;congruence;subst;reflexivity;intro;apply;inversion;reflexivity;intro;apply;inversion;reflexivity;intro;apply;inversion;reflexivity;intros;cbn;destruct;destruct;destruct;destruct;cbn;constructor;congruence;subst;reflexivity;intro;apply;inversion;reflexivity;intro;apply;inversion;reflexivity;intro;apply;inversion;reflexivity;intro;apply;inversion;reflexivity;intro;apply;inversion;reflexivity;intro;apply;inversion;reflexivity;intro;apply;inversion;reflexivity;intro;apply;inversion;reflexivity;intros;cbn;destruct;destruct;cbn;constructor;congruence;subst;reflexivity;intro;apply;inversion;reflexivity;intro;apply;inversion;reflexivity;intro;apply;inversion;reflexivity
hs_coq_map,GHC/Base.v,1,reflexivity
map_id,GHC/Base.v,5,induction;reflexivity;simpl;rewrite;reflexivity
instance_SemigroupLaws_list,GHC/Base.v,0,
instance_MonadLaws_option,GHC/Base.v,24,split;intros;unfold;reflexivity;intros;unfold;destruct;reflexivity;intros;unfold;destruct;reflexivity;intros;unfold;destruct;reflexivity;intros;unfold;reflexivity;intros;unfold;destruct;destruct;reflexivity
iterates'_ext,GHC/Enum.v,9,intro;induction;reflexivity;simpl;rewrite;rewrite;reflexivity;intro;apply
Neq_neq,GHC/Base.v,23,have;rewrite;case;constructor;intro;apply;apply;assumption;intro;exfalso;apply;apply;assumption;constructor;intro;apply;rewrite;discriminate;intro;apply;rewrite;discriminate;exact
unzip_equal_length,GHC/List.v,21,intros;destruct;revert;induction;intros;simpl;inversion;subst;auto;simpl;inversion;subst;auto;simpl;inversion;subst;auto;apply;auto;simpl;omega
elem_nil,Data/Foldable.v,7,intros;unfold;unfold;unfold;unfold;simpl;reflexivity
instance_ApplicativeLaws_identity,Data/Functor/Identity.v,16,constructor;intros;destruct;destruct;destruct;simpl;reflexivity;destruct;reflexivity;destruct;reflexivity;reflexivity;destruct;reflexivity;reflexivity;reflexivity
hs_coq_length_list',Data/Foldable.v,2,unfold;apply
instance_SemigroupLaws_comparison,GHC/Base.v,4,constructor;intros;destruct;reflexivity
EqExact_comparison,GHC/Base.v,6,constructor;intros;destruct;simpl;constructor;congruence
simpl_list_nil_eq,GHC/Base.v,1,reflexivity
Foldable_foldl'_nil,Data/Foldable.v,3,intros;unfold;reflexivity
Foldable_elem_proper,Data/Foldable.v,24,intros;unfold;unfold;unfold;unfold;unfold;unfold;unfold;unfold;induction;simpl;destruct;simpl;contradiction;reflexivity;destruct;simpl;contradiction;simpl;rewrite;rewrite;reflexivity;reflexivity;reflexivity
simpl_option_some_eq,GHC/Base.v,2,simpl;reflexivity
hs_coq_foldr_list',Data/Foldable.v,1,rewrite
instance_MonoidLaws_comparison,GHC/Base.v,38,split;intro;destruct;reflexivity;intro;destruct;reflexivity;intros;destruct;reflexivity;intro;induction;simpl;reflexivity;destruct;simpl;reflexivity;destruct;simpl;reflexivity;destruct;reflexivity;destruct;reflexivity;destruct;simpl;reflexivity;destruct;reflexivity;destruct;reflexivity;destruct;simpl;reflexivity;destruct;reflexivity;destruct;reflexivity
instance_ApplicativeLaws_list,GHC/Base.v,41,split;intros;unfold;simpl;induction;reflexivity;simpl;rewrite;reflexivity;intros;unfold;simpl;rewrite;rewrite;rewrite;rewrite;reflexivity;intros;unfold;simpl;reflexivity;intros;unfold;simpl;induction;reflexivity;simpl;rewrite;reflexivity;intros;unfold;simpl;reflexivity;intros;unfold;simpl;induction;reflexivity;simpl;rewrite;reflexivity
flat_map_concat_map,GHC/Base.v,5,induction;reflexivity;simpl;rewrite;reflexivity
map_snd_zip,GHC/List.v,16,intros;revert;induction;intros;simpl;destruct;simpl;discriminate;reflexivity;destruct;simpl;discriminate;simpl;f_equal;apply;omega
iter_plus_N,GHC/Enum.v,6,induction;reflexivity;simpl;rewrite;simpl;omega
EqLaws_Data_Either_Either,Data/Either.v,43,constructor;intro;destruct;simpl;auto;apply;apply;intros;destruct;simpl;auto;apply;assumption;apply;assumption;apply;assumption;apply;assumption;intros;destruct;simpl;auto;apply;assumption;apply;assumption;apply;assumption;apply;assumption;intros;destruct;simpl;auto;rewrite;reflexivity;rewrite;reflexivity;rewrite;reflexivity;rewrite;reflexivity
instance_MonoidLaws_unit,GHC/Base.v,13,split;intros;destruct;reflexivity;intros;destruct;reflexivity;intros;destruct;reflexivity;intros;induction;reflexivity
Eq_Transitive,GHC/Base.v,2,intros;apply
EqLaws_Int,GHC/Base.v,24,constructor;intro;unfold;rewrite;reflexivity;intros;unfold;rewrite;reflexivity;intros;unfold;case;case;case;rewrite;subst;reflexivity;rewrite;omega;intros;unfold;case;simpl;reflexivity
Neq_irrefl,GHC/Base.v,5,unfold;intro;rewrite;rewrite;reflexivity
take_drop,GHC/List.v,19,intros;generalize_dependent;generalize_dependent;induction;intros;destruct;simpl;reflexivity;simpl;destruct;simpl;reflexivity;simpl;rewrite;reflexivity;unfold;split;omega;omega
Foldable_foldl_nil,Data/Foldable.v,3,intros;unfold;reflexivity
Foldable_foldr_nil,Data/Foldable.v,2,intros;reflexivity
hs_coq_lenAcc,GHC/List.v,10,revert;induction;simpl;intros;rewrite;omega;rewrite;simpl;rewrite;omega
fmfm,GHC/Base.v,10,induction;reflexivity;simpl;rewrite;clear;induction;reflexivity;simpl;rewrite;reflexivity
hs_coq_foldr_base,GHC/Base.v,2,unfold;reflexivity
instance_FunctorLaws_list,GHC/Base.v,5,constructor;intros;apply;intros;apply
hs_coq_tuple_fst,Data/Tuple.v,2,destruct;reflexivity
instance_FunctorLaws_Data_Either_Either,Data/Either.v,9,constructor;intros;destruct;simpl;reflexivity;intros;destruct;simpl;reflexivity
eftInt_In,GHC/Enum.v,0,
EqExact_list,GHC/Base.v,40,split;intros;unfold;apply;split;intro;induction;destruct;reflexivity;simpl;discriminate;destruct;simpl;discriminate;simpl;apply;destruct;apply;apply;subst;reflexivity;intro;induction;destruct;reflexivity;simpl;discriminate;destruct;simpl;discriminate;simpl;apply;split;apply;inversion;reflexivity;apply;inversion;reflexivity;apply
Foldable_any_cons,Data/Foldable.v,22,intros;unfold;unfold;unfold;unfold;unfold;unfold;unfold;unfold;unfold;unfold;unfold;unfold;unfold;unfold;unfold;unfold;unfold;unfold;unfold;simpl;reflexivity
Foldable_foldr_app,Data/Foldable.v,8,intros;unfold;rewrite;induction;reflexivity;simpl;rewrite;reflexivity
foldr_nil,GHC/Base.v,1,reflexivity
map_map,GHC/Base.v,5,induction;reflexivity;simpl;rewrite;reflexivity
instance_MonadLaws_identity,Data/Functor/Identity.v,6,constructor;intros;cbn;repeat;destruct;reflexivity
Foldable_any_nil,Data/Foldable.v,7,intros;unfold;unfold;unfold;unfold;unfold;reflexivity
simpl_option_none_eq,GHC/Base.v,1,reflexivity
instance_MonadLaws_list,GHC/Base.v,45,split;intros;unfold;simpl;rewrite;reflexivity;intros;unfold;induction;reflexivity;simpl;rewrite;reflexivity;intros;unfold;simpl;rewrite;rewrite;rewrite;rewrite;rewrite;rewrite;rewrite;rewrite;apply;intro;rewrite;rewrite;rewrite;rewrite;reflexivity;intros;unfold;simpl;rewrite;rewrite;rewrite;rewrite;reflexivity;intros;reflexivity;intros;unfold;simpl;reflexivity
reverse_nil,GHC/List.v,1,reflexivity
zip_unzip_map,GHC/List.v,7,intros;induction;simpl;reflexivity;simpl;rewrite;reflexivity
EqLaws_pair,GHC/Base.v,0,
EqExact_unit,GHC/Base.v,5,constructor;intros;destruct;constructor;reflexivity
EqExact_Word,GHC/Base.v,1,refine
length_app,GHC/List.v,3,rewrite;rewrite;reflexivity
Foldable_foldl_app,Data/Foldable.v,4,intros;unfold;rewrite;reflexivity
hs_coq_list_length,GHC/List.v,3,unfold;rewrite;omega
iterates_map,GHC/Enum.v,3,rewrite;rewrite;rewrite
N_popcount_Ndouble,Data/Bits/Popcount.v,19,intro;destruct;simpl;induction;simpl;rewrite;reflexivity;simpl;reflexivity;reflexivity;simpl;induction;simpl;rewrite;reflexivity;simpl;reflexivity;reflexivity;reflexivity
EqExact_bool,GHC/Base.v,2,constructor;exact
iterates'_map,GHC/Enum.v,5,induction;reflexivity;simpl;rewrite;reflexivity
Neq_inv,GHC/Base.v,3,intros;destruct;apply
map_cong,GHC/Base.v,7,intros;induction;reflexivity;simpl;rewrite;rewrite;reflexivity
EqLaws_list,GHC/Base.v,75,constructor;intro;induction;reflexivity;simpl;rewrite;reflexivity;intros;induction;destruct;reflexivity;simpl;discriminate;destruct;simpl;discriminate;simpl;simpl;apply;destruct;apply;split;apply;assumption;apply;assumption;intros;induction;destruct;destruct;reflexivity;simpl;discriminate;destruct;simpl;discriminate;simpl;discriminate;destruct;destruct;simpl;discriminate;simpl;discriminate;destruct;simpl;discriminate;simpl;apply;apply;destruct;destruct;simpl;apply;split;apply;apply;assumption;assumption;intros;induction;destruct;reflexivity;reflexivity;destruct;reflexivity;simpl;rewrite;destruct;destruct;reflexivity;reflexivity;destruct;reflexivity;reflexivity
hs_coq_foldr_list,Data/Foldable.v,5,induction;reflexivity;simpl;rewrite;reflexivity
EqLaws_comparison,GHC/Base.v,14,constructor;intro;destruct;reflexivity;intros;destruct;reflexivity;intros;destruct;reflexivity;contradiction;intros;destruct;reflexivity
iterates_iterates',GHC/Enum.v,5,induction;reflexivity;simpl;rewrite;reflexivity
simpl_list_cons_eq,GHC/Base.v,1,reflexivity
flat_map_cons_f,GHC/Base.v,5,induction;reflexivity;simpl;rewrite;reflexivity
EqLaws_Word,GHC/Base.v,20,constructor;intro;unfold;rewrite;reflexivity;intros;unfold;rewrite;reflexivity;intros;unfold;rewrite;intros;subst;reflexivity;intros;unfold;unfold;rewrite;reflexivity
In_zip_map,GHC/List.v,13,intros;induction;simpl;contradiction;simpl;destruct;inversion;subst;reflexivity;apply;inversion;subst;reflexivity
EqLaws_bool,GHC/Base.v,17,constructor;intro;case;reflexivity;intros;case;case;reflexivity;intros;case;case;case;reflexivity;intros;case;case;reflexivity
hs_coq_foldl_list,Data/Foldable.v,5,rewrite;move;elim;reflexivity;rewrite
reverse_involutive,GHC/List.v,4,intro;rewrite;rewrite;apply
map_append,GHC/Base.v,6,induction;simpl;reflexivity;simpl;rewrite;reflexivity
EqLaws_option,GHC/Base.v,0,
EqLaws_unit,GHC/Base.v,12,constructor;intros;reflexivity;intros;inversion;reflexivity;intros;inversion;inversion;reflexivity;intros;reflexivity
concat_map,GHC/Base.v,6,induction;reflexivity;simpl;rewrite;rewrite;reflexivity
length_cons,GHC/List.v,5,simpl;rewrite;rewrite;rewrite;omega
foldr_id,GHC/Base.v,4,induction;reflexivity;simpl;apply
instance_FunctorLaws_option,GHC/Base.v,7,constructor;intros;destruct;reflexivity;intros;destruct;reflexivity
flat_map_map,GHC/Base.v,3,rewrite;rewrite;reflexivity
Foldable_elem_app,Data/Foldable.v,6,intros;unfold;unfold;unfold;rewrite;reflexivity
EqExact_Down,Data/Ord.v,9,split;intros;destruct;simpl;apply;intros;destruct;simpl;apply
iter_plus_Z,GHC/Enum.v,7,induction;simpl;reflexivity;simpl;rewrite;simpl;omega
iterates_ext,GHC/Enum.v,4,move;rewrite;apply;rewrite
length_nil,GHC/List.v,1,reflexivity
enumFromTo_Int_In,GHC/Enum.v,8,rewrite;case;split;move;omega;move;omega;apply
eftInt_iterates',GHC/Enum.v,33,rewrite;case;have;omega;have;rewrite;omega;rewrite;simpl;reflexivity;have;have;have;rewrite;have;rewrite;have;have;omega;have;rewrite;omega;rewrite;omega;rewrite;omega;omega;omega;omega;exact;rewrite;rewrite;reflexivity
In_zip,GHC/List.v,19,intros;induction;simpl;contradiction;destruct;simpl;contradiction;simpl;destruct;inversion;subst;split;simpl;auto;apply;destruct;split;simpl;auto
instance_MonoidLaws_option,GHC/Base.v,37,split;intro;destruct;simpl;apply;simpl;reflexivity;intro;destruct;simpl;apply;simpl;reflexivity;intros;destruct;destruct;simpl;apply;simpl;reflexivity;destruct;simpl;reflexivity;simpl;reflexivity;intro;induction;simpl;reflexivity;simpl;destruct;simpl;rewrite;reflexivity;simpl;rewrite;reflexivity
eftInt_aux_In,GHC/Enum.v,0,
snd_unzip,GHC/List.v,6,intros;induction;reflexivity;simpl;rewrite;reflexivity
N_double_succ,Data/Bits/Popcount.v,9,intros;destruct;reflexivity;simpl;destruct;reflexivity;simpl;rewrite;reflexivity
Pos_popcount_1_Is_power,Data/Bits/Popcount.v,11,intro;induction;simpl;rewrite;exfalso;omega;simpl;apply;apply;assumption;apply
hs_coq_tuple_snd,Data/Tuple.v,2,destruct;reflexivity
In_zip_snd,GHC/List.v,28,intros;revert;induction;intros;destruct;simpl;discriminate;inversion;inversion;inversion;subst;exists;simpl;auto;apply;destruct;exists;simpl;right;assumption;assumption;apply;destruct;exists;simpl;right;assumption;assumption
snd_pair,Data/Tuple.v,1,reflexivity
Foldable_foldr_map,Data/Foldable.v,6,induction;simpl;reflexivity;simpl;rewrite;reflexivity
Foldable_foldl_cons,Data/Foldable.v,3,intros;simpl;reflexivity
hs_coq_lenAcc_add,GHC/List.v,6,induction;simpl;intros;omega;rewrite;omega
N_popcount_double,Data/Bits/Popcount.v,11,intro;destruct;reflexivity;simpl;induction;simpl;rewrite;reflexivity;simpl;reflexivity;reflexivity
EqLaws_Down,Data/Ord.v,11,constructor;intros;apply;intros;apply;exact;intros;apply;assumption;intros;apply
EqLaws_Proxy,Data/Proxy.v,13,constructor;intros;reflexivity;intros;simpl;subst;reflexivity;intros;simpl;subst;reflexivity;intros;reflexivity
elem_cons,Data/Foldable.v,8,intros;unfold;unfold;unfold;unfold;unfold;simpl;reflexivity
flat_map_cong,GHC/Base.v,5,intros;rewrite;apply;apply;exact
hs_coq_filter,GHC/List.v,10,induction;reflexivity;simpl;destruct;simpl;rewrite;reflexivity;simpl;rewrite;reflexivity
foldr_single,GHC/Base.v,1,reflexivity
hs_coq_foldl_base,GHC/Base.v,6,unfold;induction;simpl;reflexivity;rewrite;reflexivity
EqExact_Int,GHC/Base.v,2,constructor;exact
Eq_is_true_m,GHC/Base.v,0,
forM_cong,Data/Traversable.v,0,
hs_coq_length_list,Data/Foldable.v,2,rewrite;reflexivity
EqExact_option,GHC/Base.v,23,split;intros;destruct;simpl;constructor;congruence;destruct;constructor;congruence;destruct;constructor;congruence;intros;destruct;simpl;constructor;congruence;destruct;constructor;congruence;destruct;constructor;congruence
Eq_reflI,GHC/Base.v,3,intros;subst;apply
eftInt_aux_iterates,GHC/Enum.v,0,
